1011,Capital subscris nevărsat
1012,Capital subscris vărsat
1015,Patrimoniul regiei
1016,Patrimoniul public
1041,Prime de emisiune
1042,Prime de fuziune/divizare
1043,Prime de aport
1044,Prime de conversie a obligațiunilor în acțiuni
105,Rezerve din reevaluare
1061,Rezerve legale
1063,Rezerve statutare sau contractuale
1064,Rezerve de valoare justă
1065,Rezerve reprezentând surplusul realizat din rezerve din reevaluare
1068,Alte rezerve
107,Rezerve din conversie
1081,Interese minoritare - rezultatul exercițiului financiar
1082,Interese minoritare - alte capitaluri proprii
1091,Acțiuni proprii deținute pe termen scurt
1092,Acțiuni proprii deținute pe termen lung
1171,Rezultatul reportat reprezentând profitul nerepartizat sau pierderea neacoperită
1172,"Rezultatul reportat provenit din adoptarea pentru prima data a IAS, mai puțin IAS 29"
1174,Rezultatul reportat provenit din corectarea erorilor contabile
1176,Rezultatul reportat provenit din trecerea la aplicarea Reglementărilor contabile conforme cu Directiva a patra a Comunităților Economice Europene
121,Profit sau pierdere
129,Repartizarea profitului
131,Subvenții guvernamentale pentru investiții
132,Împrumuturi nerambursabile cu caracter de subvenții pentru investiții
133,Donații pentru investiții
134,Plusuri de inventar de natura imobilizărilor
138,Alte sume primite cu caracter de subvenții pentru investiții
1511,Provizioane pentru litigii
1512,Provizioane pentru garanții acordate clienților
1513,Provizioane pentru dezafectare imobilizări corporale și alte acțiuni similare legate de acestea
1514,Provizioane pentru restructurare
1515,Provizioane pentru pensii și obligații similare
1516,Provizioane pentru impozite
1518,Alte provizioane
1614,Împrumuturi externe din emisiuni de obligațiuni garantate de stat
1615,Împrumuturi externe din emisiuni de obligațiuni garantate de bănci
1617,Împrumuturi interne din emisiuni de obligațiuni garantate de stat
1618,Alte împrumuturi din emisiuni de obligațiuni
1621,Credite bancare pe termen lung
1622,Credite bancare pe termen lung nerambursate la scadență
1623,Credite externe guvernamentale
1624,Credite bancare externe garantate de stat
1625,Credite bancare externe garantate de bănci
1626,Credite de la trezoreria statului
1627,Credite bancare interne garantate de stat
1661,Datorii față de entitățile afiliate
1663,Datorii față de entitățile de care compania este legată prin interese de participare
1681,Dobânzi aferente împrumuturilor din emisiuni de obligațiuni
1682,Dobânzi aferente creditelor bancare pe termen lung
1685,Dobânzi aferente datoriilor față de entitățile afiliate
1686,Dobânzi aferente datoriilor față de entitățile de care compania este legată prin interese de participare
1687,Dobânzi aferente altor împrumuturi și datorii asimilate
169,Prime privind rambursarea obligațiunilor
201,Cheltuieli de constituire
203,Cheltuieli de dezvoltare
205,"Concesiuni, brevete, licențe, mărci comerciale, drepturi și active similare"
2071,Fond comercial pozitiv
2075,Fond comercial negativ
208,Alte imobilizări necorporale
2111,Terenuri
2112,Amenajări de terenuri
212,Construcții
2131,"Echipamente tehnologice (mașini, utilaje și instalații de lucru)"
2132,"Aparate și instalații de măsurare, control și reglare"
2133,Mijloace de transport
2134,Animale și plantații
214,"Mobilier, aparatură birotică, echipamente de protecție a valorilor umane și materiale și alte active corporale"
231,Imobilizări corporale în curs de execuție
232,Avansuri acordate pentru imobilizări corporale
233,Imobilizări necorporale în curs de execuție
234,Avansuri acordate pentru imobilizări necorporale
261,Acțiuni deținute la entitățile afiliate
263,Interese de participare
264,Titluri puse în echivalență
265,Alte titluri imobilizate
2671,Sume datorate de entitățile afiliate
2672,Dobânda aferentă sumelor datorate de entitățile afiliate
2673,Creanțe legate de interesele de participare
2674,Dobânda aferentă creanțelor legate de interesele de participare
2675,Împrumuturi acordate pe termen lung
2676,Dobânda aferentă împrumuturilor acordate pe termen lung
